track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,tiktok_views,airplay_spins,siriusxm_spins,pandora_streams,soundcloud_streams,shazam_counts,explicit_track
Heartless (feat. Morgan Wallen),Heartless (feat. Morgan Wallen),Diplo,8/16/2019,USSM11905215,2977,25,548333714,77,191331224,256819834,19,26,252841658,12131149,952624,1
Lionheart (Fearless),Lionheart (Fearless),Joel Corry,10/21/2022,GBAHS2201155,2985,25,110545738,62,23040928,6584480,201798,40,132408,494533,1431373,0
Slow Hands,Slow Hands,Niall Horan,5/4/2017,USUG11700631,2989,25,946043494,70,304206080,93693477,85404,334,267765362,9334619,4873266,0
I Wrote The Book,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,USUG12300808,2984,25,140137839,64,22406782,47494771,1377,39,119778007,1538268,157892,0
If I Can't Have You,Shawn Mendes (Deluxe),Shawn Mendes,5/25/2018,USUM71907349,3007,25,1015502663,67,290850550,102264948,171291,404,199577088,330177,3403391,0
Antidote,Antidote,Travis Scott,7/28/2015,USSM11505661,3053,25,693552475,68,484191598,100004969,479,18,260556165,5339568,3758685,1
Summer Too Hot,Summer Too Hot,Chris Brown,6/23/2023,USRC12301497,3047,25,41255598,51,24244922,1570567,91035,151,16529034,351529,485039,1
Elastic Heart,Full Circle: The Live Anthology,Sia,11/20/2011,USRC11400976,3064,25,924784325,70,1537848233,663268482,25242,15,221150587,831706,3499919,0
2 Phones,2 Phones,Kevin Gates,11/6/2015,USAT21503158,3083,24,384977271,61,54470349,129310076,424,28,344533623,77602717,1751139,1
Blame,So Fresh ï¿½ï¿½ï¿½ The Hits Of Summer 2015 + Best O,Calvin Harris,1/1/2014,GBARL1400567,3103,24,934248345,73,875518093,98339758,39747,37,244084589,298284,10476296,0
Thotiana,Famous Cryp,Blueface,6/20/2018,QZDA51839408,3129,24,374553396,13,406426712,578801821,13460,4,51852737,11047458,925687,1
Asking,Asking (feat. Clementine Douglas),Sonny Fodera,7/7/2023,US39N2307761,3117,24,86564714,71,7626020,2191926,24743,24,2191,4831190,545123,0
Bangarang (feat. Sirah),Bangarang EP,Skrillex,12/23/2011,USAT21104243,3123,24,474420154,64,1122789221,1383691192,10895,24,70682103,41640906,5198362,1
One Man Band,Old Dominion,Old Dominion,1/18/2019,USRN11800147,3132,24,439281048,75,225336788,60781778,24352,155,393520749,776333,1750559,0
YEAH RIGHT,Yeah Right,Joji,5/8/2018,USUYG1194991,3192,24,707551397,21,222319540,186530347,119,56,9776641,18684374,1508168,1
Soundgasm,Soundgasm,Rema,6/10/2021,NGA3B2114003,3195,24,142352659,58,105833149,129897849,9295,85,5024541,5273813,2768798,1
Oklahoma Smokeshow,Summertime Blues,Zach Bryan,7/15/2022,USWB12202706,3193,24,283406755,77,62279409,49171406,794,22,42707006,3672155,363648,0
Style,1989 (Deluxe),Taylor Swift,1/1/2014,USCJY1431319,3179,24,1216966135,74,848555837,428073160,18666,117,388338220,448643,6844702,0
FEEL,Timeless,Davido,3/30/2023,GBARL2300319,3202,24,65174919,64,37986567,479919203,7196,34,1188467,998528,1062087,0
Cï¿½ï¿½MO SE SIENTE - R,Como Se Siente (Remix),Jhay Cortez,5/9/2020,USUM72010288,3190,24,705672746,70,271113088,124603506,4564,20,66731877,72533,633497,1
Without Me,The Source - Hip Hop Hits Vol. 6,Eminem,1/1/2002,USIR10211038,3210,24,2146682342,83,347730526,177890147,2668,69,424694899,36224403,13371463,1
Lost Boy,Lost Boy,Ruth B.,8/21/2015,USSM11506787,3207,24,840781611,64,32641573,160655710,1910,21,395651668,1523157,3966093,0
Diamondz n Roses,Diamondz n Roses,VaporGod,3/23/2023,QZHN42330211,3205,24,33044062,6,17304165,2490290769,4,25,37348,4078815,42664,0
Paris,Paris,The Chainsmokers,1/13/2017,USQX91603031,3243,24,1188567787,68,96234317,388633141,47278,91,251208489,1880533,4914487,0
Kool-Aid,Kool-Aid,Bring Me The Horizon,1/5/2024,GBARL2301975,3235,24,49756092,73,16624763,4372,3566,5,2053888,351383,65087,1
Tï¿½ï¿½ Me Dejaste De Qu,Tï¿½ï¿½ Me Dejaste De Querer (feat. Niï¿½ï¿½o de Elche & La ,C. Tangana,11/5/2020,ES5022000718,3277,24,401979272,66,236719624,203030554,15171,6,232813,1133646,1750278,0
Spotless (feat. The Lumineers),Spotless (feat. The Lumineers),Zach Bryan,8/24/2023,USWB12304905,3271,24,157676395,76,5025676,2359449,8672,302,12486187,1123740,118515,1
Enough Is Enough,AUSTIN,Post Malone,7/28/2023,USUM72306021,3326,23,106740885,66,4758436,12122087,48065,407,26114309,401556,432706,1
Asï¿½ï¿½ Lo Quiso ,DESVELADO,Eslabon Armado,4/28/2023,USE7D2300024,3327,23,173061521,67,53668901,239225982,2,1,23293442,958109,604065,0
Notion,Futureproof,The Rare Occasions,8/5/2016,USHM21617726,3325,23,597718233,76,152225528,1985146213,432,57,6377646,23761659,3504438,0
Outskirts,Outskirts,Sam Hunt,3/10/2023,USUM72302885,3334,23,66067682,65,7470172,2892289,141315,68,35832045,341717,241991,0
X,X,Nicky Jam,2/22/2018,USSD11800024,3319,23,981323727,73,87459823,371899059,38418,341,162612776,851609,13561186,0
Promiscuous,Loose (Japan Version),Nelly Furtado,1/1/2006,USUM70603473,3348,23,1194124781,78,810297837,1795501997,74370,337,483978772,6774273,6254052,0
i'm yours,i'm yours,Isabel LaRosa,10/28/2022,USRC12203917,3361,23,320296093,76,27153913,38533990,1032,14,1803985,3922370,343605,0
Iï¿½ï¿½ï¿½m Not Here To Make Friends (feat. Calvin Harris & Jessie ,Gloria,Sam Smith,1/27/2023,GBUM72205420,3386,23,146921991,61,37582359,351979940,117393,63,803647,239714,813738,0
Distraction,Distraction,Polo G,6/3/2022,USSM12204451,3383,23,103549505,55,40937892,21878255,3795,35,6567553,13099010,177908,1
Washing Machine Heart,Be the Cowboy,Mitski,8/17/2018,USJ5G1815012,3388,23,743015700,77,177148832,1004422009,647,250,4304887,12250564,1821714,0
Little Things,Little Things,Jorja Smith,5/11/2023,QM4TX2344810,3380,23,46615691,54,6255853,758814572,15021,11,380027,985463,591008,0
Dead Man Walking,Dead Man Walking,Brent Faiyaz,9/18/2020,QM24S2006908,3382,23,390893607,66,94620680,368523039,1122,6,12496672,3841582,927120,1
Ball If I Want To,Ball If I Want To,DaBaby,6/18/2021,USUM72109804,3418,23,216934691,60,70627607,1016363322,8865,94,46773968,8702695,603507,1
Limbo,Prestige,Daddy Yankee,1/1/2012,USNPD1200128,3400,23,508914869,70,1529347092,73318392,12567,67,200834379,330708,5615561,0
DJ Got Us Fallin' In Love,Europa FM Presenta Europa Baila,USHER,1/1/2010,USLF21000041,3402,23,841183589,76,485860020,64589027,2137,351,793976863,1444503,6644459,0
Cool With You,NewJeans 2nd EP 'Get Up',NewJeans,7/21/2023,USA2P2330072,3425,23,165916276,70,52705822,92644726,4205,31,570444,861470,139260,0
New Freezer (feat. Kendrick Lamar),New Freezer (feat. Kendrick Lamar),Rich The Kid,9/25/2017,USUM71708973,3424,23,317302250,54,113727264,286048019,7340,140,87899940,74265281,2007712,1
Have Mercy,Have Mercy,Chlï¿½,9/10/2021,USSM12105357,3445,23,202781631,60,1271445,2410282562,119001,1447,67145429,4649990,1690643,1
White Tee (with NO1-NOAH),Life On Earth - EP,Summer Walker,7/10/2020,USUM72013570,3474,23,277094824,63,118824965,537618525,868,36,8138349,13393881,3474234,1
Too Easy,Too Easy,Gunna,9/24/2021,QMCE32100757,3452,23,133039977,54,21842375,241202185,19365,401,15478634,13914231,216542,1
You Know You Like It,You Know You Like It,DJ Snake,10/14/2014,USUM71414293,3465,23,506083686,65,191257884,53859932,20173,45,359711385,51994371,14034296,0
Let Your Boys Be Country,Let Your Boys Be Country,Jason Aldean,8/25/2023,QMRSZ2301462,3456,23,21485335,1,5878965,9858141,85293,8,28859182,242451,92321,0
The Summoning,The Summoning - Single,Sleep Token,1/6/2023,GBUM72200352,3484,23,135976140,69,37952419,14785534,3782,3,2998363,861468,390413,0
La player (Bandolera),La Player (Bandolera),Zion & Lennox,2/23/2018,USWL11700273,3520,23,603009543,65,752863338,33166882,13214,19,45328272,386024,1628610,0
Ain't Your Mama,Ain't Your Mama,Jennifer Lopez,4/7/2016,USSM11602625,3562,22,478791369,63,964694090,281205271,53264,36,17832312,143896,4680196,0
TWINNEM,TWINNEM,Coi Leray,9/20/2021,USUM72115284,3557,22,34116353,42,73393043,6661617341,966,1051,13112166,1967272,1061424,1
Love Sosa,Finally Rich (Deluxe),Chief Keef,1/1/2012,USUM71214600,3586,22,757522352,74,101146931,450672924,1404,51,199348206,385854,1130370,1
Boyfriend,Believe,Justin Bieber,1/1/2012,USUM71202650,3614,22,538918222,70,992302781,149188520,5481,66,196398467,313957,3052967,0
Let Me Love You,Turning Point,Mario,1/1/2004,USJAY0400348,3608,22,971172980,70,996052113,171491357,112158,106,1022198659,139191,6473758,0
Like I Want You,LIKE I WANT YOU,Giveon,11/21/2019,USSM11914370,3623,22,382565051,69,121875542,123745488,25,24,26786493,21223826,1222113,0
Budapest,Did You Hear the Rain?,George Ezra,11/3/2013,GBARL1400477,3646,22,1142061871,79,265620751,42711557,106124,208,336791180,360734,12360774,0
Just Dance,The Fame,Lady Gaga,1/1/2008,USUM70807646,3629,22,1062571821,74,566585521,623454990,209992,425,267910774,9858069,7126620,0
Tom's Diner,Tom's Diner,AnnenMayKantereit,6/28/2019,DEUM71903009,3640,22,296543065,68,205245834,2473547695,6060,148,1650972,527470,3560853,0
Ring (feat. Kehlani),Invasion of Privacy,Cardi B,4/6/2018,USAT21801432,3671,22,242105356,59,327705174,38979215,48967,40,198379303,34076078,1550411,1
What Ifs (feat. Lauren Alaina),Kane Brown,Kane Brown,12/2/2016,USRN11600859,3696,22,516523975,67,407784529,10506569,132684,56,366815231,1264787,1925032,0
SET ME FREE,READY TO BE,TWICE,3/10/2023,US5TA2300005,3705,22,117186345,62,137633324,580855649,1361,33,575708,626127,191507,0
"Sex, Drugs, Etc.",Chit Chat,Beach Weather,11/4/2016,TCACS1642138,3731,22,818926915,77,85879643,478999463,127903,278,4397971,9460095,3388780,0
Playing Games,Playing Games,Summer Walker,8/23/2019,USUM71917221,3737,22,177369022,58,200783046,75387907,100358,472,26303941,35561645,1548061,1
NI BIEN NI MAL,X 100PRE,Bad Bunny,12/23/2018,QM7281884659,3735,22,461199840,61,457134135,170750243,2191,21,87133397,1606154,889933,1
Candy Shop,Candy Shop,50 Cent,1/1/2005,USIR10500072,3732,22,954807024,75,1230174677,950938614,44539,122,336378328,18800874,6300407,1
This Town,This Town,Niall Horan,9/29/2016,USUG11601029,3743,22,957810500,74,174370096,159860013,19825,69,168215252,21192691,5142901,0
Cab In A Solo,Cab In A Solo - Single,Scotty McCreery,8/18/2023,USQX92304263,3787,22,11614161,55,3113363,1218414,118584,3,11488894,136514,311403,0
Slide,Slide,H.E.R.,9/27/2019,USRC11902505,3781,22,224529894,53,268061194,112923227,92023,9,132646262,3325890,2404340,1
Be The One,Be The One,Eli Brown,3/31/2023,GBUM72302199,3777,22,75309953,67,9963983,22133936,3716,39,827038,3389875,330883,0
This City,Not a Hobby,Sam Fischer,1/19/2018,TCADL1840559,3767,22,633467655,63,26434293,1120361528,43085,83,34430527,27508804,1565404,0
Overwhelmed,Overwhelmed,Royal & the Serpent,6/26/2020,USAT22002973,3813,21,189175699,62,14575452,2001548087,22497,163,16754992,5117469,1456206,0
Hype Boy,NewJeans 1st EP 'New Jeans',NewJeans,8/1/2022,USA2P2230222,3836,21,541018402,74,35777367,1096877338,6153,106,885151,1574180,474609,0
PERSIAN RUGS,PARTYPACK,PARTYNEXTDOOR,10/16/2020,USWB12004216,3840,21,113153819,65,14448833,47272619,63,37,1376205,48659667,97523,1
Be Kind (with Halsey),Manic,Marshmello,1/17/2020,USUG12001567,3829,21,664972754,67,148754253,275420611,123485,251,50964881,52172,3200345,0
For Tonight,For Tonight,Giveon,9/24/2021,USSM12106837,3848,21,259405297,59,68379159,71844871,66137,714,38644659,4737504,1255610,0
0800 HEAVEN,0800 HEAVEN - Single,Nathan Dawe,6/9/2023,GBAHS2300402,3878,21,68189858,61,15853723,4189925,66669,205,198047,1981079,521658,0
March Madness,56 Nights,Future,3/21/2015,USSM11507194,3886,21,169574765,61,64115813,29701332,3414,5,309053851,100699130,1488185,1
Que Calor (with J Balvin & El Alfa),Major Lazer Essentials,Major Lazer,10/19/2018,QMUY41800271,3875,21,433664050,59,235890905,1344891926,28247,277,26759367,8083227,4070551,0
I Know,I Know,Kanii,3/10/2023,USWB12300650,3914,21,49939720,54,48845907,1646887640,178,1056,232181,2940190,510234,1
The Last Goodbye (feat. Bettye LaVette),The Last Goodbye (feat. Bettye LaVette) - Single,ODESZA,2/8/2022,GBCFB2100832,3905,21,122957173,58,35159391,1408619017,5136,19,1757068,1860975,1713873,0
The Weekend,Ctrl,SZA,6/9/2017,USRC11701116,3896,21,537523729,70,366197654,103430758,2678,65,211565753,3776319,1833030,1
