track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,tiktok_views,airplay_spins,siriusxm_spins,pandora_streams,soundcloud_streams,shazam_counts,explicit_track
The Painter,The Painter - Single,Cody Johnson,8/11/2023,QMCQK1900300,"1,298",41.3,"107,754,524",66.0,"11,577,220","53,554,260","137,184",6,"43,933,514","670,877","332,849",0
X (feat. Future),Savage Mode,21 Savage,7/15/2016,QZ45A1600041,"1,302",41.2,"581,220,786",65.0,"365,678,540","98,210","1,992",17,"267,465,925","159,665,164","1,739,069",1
Passionfruit,More Life,Drake,3/18/2017,USCM51700072,"1,309",41.1,"1,625,307,365",77.0,"410,329,826","907,498,533","26,825",51,"176,739,390","7,711,539","5,160,420",0
I Donï¿½ï¿½ï¿½t Wanna Live Forever (Fifty Shades D,I Donï¿½ï¿½ï¿½t Wanna Live Forever (Fifty Shades D,ZAYN,12/9/2016,USQ4E1602586,"1,312",41.1,"1,662,288,901",75.0,"1,049,659,880","6,028,763","33,652",22,"305,499,151","1,739,764","11,706,559",0
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),SUBEME LA RADIO,Enrique Iglesias,2/24/2017,USRC11700058,"1,313",41.1,"706,158,416",65.0,"1,601,099,483","233,419,445","67,073",69,"107,237,615","446,194","7,039,145",0
Soak City (Do it),Soak City (Do it),310babii,6/3/2023,QZK6G2375527,"1,310",41.1,"128,855,739",65.0,"17,779,741","1,598,512,701","1,318","1,893","12,625,658","6,657,861","2,066,168",1
On BS,Her Loss,Drake,11/4/2022,USUG12208600,"1,333",40.7,"253,540,951",67.0,"22,665,894","494,336,128",1,25,"13,857,732","9,123,989","508,529",1
Love Again,Love Again,The Kid LAROI,1/27/2023,USSM12211461,"1,342",40.6,"215,466,975",62.0,"28,993,149","65,897,455","140,425","1,410","18,081,156","4,201,807","982,555",0
Cowgirls (feat. ERNEST),One Thing At A Time,Morgan Wallen,3/3/2023,USUG12300827,"1,371",40.1,"266,560,481",81.0,"40,534,712","103,569,548","31,216",24,"82,896,740","4,342,886","357,979",0
'Til You Can't,'Til You Canï¿½ï¿½ï¿½t / Longer Than S,Cody Johnson,6/11/2021,QMCQK1900137,"1,364",40.1,"258,769,609",68.0,"145,224,400","116,117,655","332,754",146,"177,004,719","5,157,422","1,449,353",0
Me or Sum (feat. Future & Lil Baby),Me or Sum (feat. Future & Lil Baby) - Single,Nardo Wick,11/29/2021,USRC12103471,"1,374",40.0,"169,074,195",59.0,"121,560,768","214,484,764","68,575",96,"44,007,637","24,502,125","1,161,965",1
You're Welcome,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Dwayne Johnson,11/18/2016,USWD11677860,"1,372",40.0,"551,115,166",66.0,"1,771,543,816","392,249,223","1,063",343,"225,519,413","185,473","884,422",0
Royals,The Love Club EP,Lorde,1/1/2012,NZUM71200031,"1,386",39.8,"1,232,502,989",73.0,"349,747,981","198,680,803","202,396",356,"969,328,430","1,047,111","16,239,587",0
Charm,Charm (Sped Up),Rema,4/26/2023,NGA3B2314006,"1,387",39.8,"111,124,873",65.0,"103,077,029","291,086,000","9,139",34,"638,711","2,455,903","2,072,597",1
No Lie,Dua Lipa (Complete Edition),Sean Paul,1/1/2015,GBUM71604557,"1,384",39.8,"1,162,659,862",76.0,"1,613,180,283","1,580,838,186","43,960",15,"20,537,955","987,933","13,852,674",0
Cooped Up (with Roddy Ricch),Cooped Up,Post Malone,5/12/2022,USUM72208020,"1,401",39.6,"327,011,836",62.0,"116,596,146","258,017,332","117,371",718,"18,866,959","4,082,380","1,443,587",1
3:15 (Breathe),3:15 (Breathe),Russ,5/21/2021,TCAFO2147109,"1,406",39.5,"303,510,160",72.0,"153,123,397","2,457,741,991",895,24,"6,227,767","8,179,979","1,253,652",1
Like That (feat. Gucci Mane),Hot Pink,Doja Cat,11/7/2019,USRC11902288,"1,405",39.5,"510,302,007",66.0,"459,871,445","1,918,118,365",225,89,"62,486,526","16,479,480","3,413,408",1
Control,Control,Zoe Wees,3/13/2020,GB2DY2000093,"1,407",39.5,"457,848,626",66.0,"246,089,222","1,783,816,089","180,385",24,"62,974,334","7,465,200","6,554,675",0
Die For You,SMITHEREENS,Joji,11/4/2022,USWB12203732,"1,412",39.4,"363,300,065",71.0,"77,291,326","352,701,529","20,078",30,"2,553,943","2,916,758","601,440",0
SC-9,SC-9,Yahir Saldivar,2/1/2024,QZDA52413180,"1,415",39.3,"63,296,147",64.0,"57,626,164","19,883,744",7,31,"2,824,792","24,008","472,289",1
Home,Home,Edith Whiskers,10/16/2020,GBVHN2000009,"1,441",38.8,"382,143,321",65.0,"97,046,738","12,626,614,888",116,176,"1,117,990","6,306,655","3,370,245",0
The London (feat. J. Cole & Travis Scott),The London (feat. J. Cole & Travis Scott),Young Thug,5/23/2019,USAT21903320,"1,438",38.8,"729,825,680",62.0,"286,183,927","63,035,109","65,842",101,"63,014,064","40,918,654","2,792,929",1
Please Me,Please Me,Cardi B,2/15/2019,USAT21811659,"1,449",38.6,"551,035,247",70.0,"709,288,321","244,717,002","51,761",33,"191,472,793","25,841,765","2,677,590",1
See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",7/21/2017,USQX91701275,"1,456",38.4,"1,610,423,351",84.0,"345,975,070","832,654,007","5,055",180,"13,113,654","3,586,900","3,197,618",1
Amanece,Amanece,Anuel AA,12/14/2018,USDXS1806044,"1,457",38.4,"784,096,553",77.0,"979,304,024","98,951,834","7,211",26,"100,876,561","17,640,877","1,503,816",0
Die Young (feat. 347aidan),Die Young (feat. 347aidan),Sleepy Hallow,5/25/2022,USRC12201686,"1,464",38.3,"245,406,516",60.0,"53,569,545","85,005,540","4,801",80,"2,858,516","22,301,254","358,116",1
Can't Tame Her,Can't Tame Her,Zara Larsson,1/26/2023,USSM12210918,"1,473",38.2,"159,051,363",62.0,"36,559,555","214,685,378","181,938",140,"482,317","579,551","1,293,372",0
If the World Was Ending - feat. Julia Michaels,If the World Was Ending (feat. Julia Michaels),JP Saxe,10/17/2019,USQX91902708,"1,483",38.1,"1,145,402,792",69.0,"96,493,850","947,802,755","131,938",290,"92,421,060","20,375,650","3,815,615",0
Heartless,Heartless,The Weeknd,11/27/2019,USUG11904007,"1,486",38.0,"975,754,682",73.0,"222,977,264","210,080,661","105,042",155,"108,935,183","19,179,795","2,433,408",1
we fell in love in october,we fell in love in october / October Passed Me By,girl in red,1/1/2018,GBKPL1828677,"1,490",38.0,"1,034,272,727",77.0,"235,190,444","2,226,783,393","1,675",51,"10,135,078","30,020,995","2,050,181",0
Where Did You Go? (feat. MNEK),Where Did You Go?,Jax Jones,1/26/2022,GBUM72108841,"1,488",38.0,"389,547,230",70.0,"50,898,391","124,607,839","268,879",255,"1,397,531","4,459,699","3,930,598",0
Sex Sounds,True 2 Myself,Lil Tjay,10/11/2019,USSM11909049,"1,495",37.9,"413,974,601",69.0,"157,947,172","438,050,984",159,2,"15,614,924","52,862,267","2,444,154",1
Asiwaju,Asiwaju,Ruger,11/14/2022,GBARL2202349,"1,498",37.9,"108,133,711",18.0,"122,293,855","173,486,714","6,133",22,"1,287,462","2,821,424","2,409,680",1
Sticky,"Honestly, Nevermind",Drake,6/17/2022,USUG12204888,"1,492",37.9,"253,177,498",66.0,"79,370,407","612,598,555","2,011",826,"28,529,396","8,402,779","1,006,549",1
Centuries,Centuries,Fall Out Boy,9/9/2014,USUM71412644,"1,501",37.9,"1,184,571,362",75.0,"829,829,470","254,037,168","54,050",205,"613,556,624","9,188,607","5,556,481",0
SkeeYee,Hood Hottest Princess,Sexyy Red,6/9/2023,QZQAY2395569,"1,510",37.8,"96,289,114",67.0,"33,861,736","1,094,402,576","6,030",884,"5,800,021","5,779,008","614,711",1
Beautiful Crazy,Beautiful Crazy,Luke Combs,5/4/2018,US6XF1700259,"1,511",37.8,"828,103,564",77.0,"594,679,967","122,040,522",32,33,"494,840,019","1,653,812","1,837,804",0
Body Like A Back Road,Body Like A Back Road,Sam Hunt,2/1/2017,USUM71700575,"1,520",37.7,"874,864,898",66.0,"340,287,969","12,493,072","183,258",444,"637,093,831","20,463,147","3,691,205",0
Best Part (feat. H.E.R.),Freudian,Daniel Caesar,8/25/2017,CADDS1700022,"1,516",37.7,"1,362,614,026",79.0,"198,079,219","854,742,783","30,988",112,"184,904,047","40,539,247","4,584,343",0
Worth It,Reflection (Japan Deluxe Edition),Fifth Harmony,1/1/2014,USSM11406644,"1,517",37.7,"815,946,405",67.0,"2,318,717,784","1,277,991,912","38,592",223,"100,051,664","607,315","15,861,007",0
Dial Drunk (with Post Malone),Dial Drunk (with Post Malone),Noah Kahan,7/18/2023,USUM72308676,"1,533",37.5,"276,026,602",79.0,"2,065,849","62,794","14,487",69,"33,078,159","1,242,129","843,154",1
Piscina,Piscina,Maria Becerra,11/8/2023,USWL12302932,"1,532",37.5,"81,319,633",6.0,"112,905,667","177,288,152","19,380",5,"663,889","68,719","271,450",1
this is what falling in love feels like,this is what falling in love feels like (Ramengvrl Remix),JVKE,9/3/2021,GBKPL2163189,"1,531",37.5,"477,620,800",72.0,"149,501,582","2,841,508,008","12,776",805,"4,569,371","6,854,257","2,230,806",0
Firework,Teenage Dream,Katy Perry,1/1/2010,USCA21001262,"1,534",37.5,"1,065,375,074",67.0,"1,634,743,568","686,049,802","238,231",273,"417,594,591","1,020,201","8,932,134",0
wait in the truck (feat. Lainey Wilson),wait in the truck - Single,HARDY,8/26/2022,QZ22S2200068,"1,537",37.5,"127,223,430",63.0,"91,145,868","39,170,264","177,709",9,"125,290,585","1,259,302","796,363",0
No Es por Acï¿,No Es por Acï¿½ï¿½ - Si,Carin Leon,7/8/2022,QZQMB2102485,"1,543",37.4,"331,775,657",51.0,"385,663,277","45,584,468","6,628",115,"72,090,563","546,389","637,447",0
Hey Driver (feat. The War and Treaty),Hey Driver (feat. The War and Treaty),Zach Bryan,8/24/2023,USWB12304897,"1,552",37.2,"221,575,551",78.0,"18,831,939","55,929,921",960,1,"12,919,853","2,848,684","218,001",0
Free Mind,For Broken Ears,Tems,9/25/2020,QMBZ92014864,"1,559",37.1,"155,772,691",67.0,"148,979,688","793,660,172","441,814",145,"39,057,776","15,104,791","3,346,952",0
Savage,Suga,Megan Thee Stallion,3/6/2020,QMCE32000097,"1,563",37.1,"427,275,743",61.0,"340,951,703","419,613,742","50,845","1,050","126,279,703","19,377,948","2,056,307",1
You Should Probably Leave,Starting Over,Chris Stapleton,11/13/2020,USUM72013814,"1,566",37.0,"427,605,317",77.0,"116,140,773","85,185,999","183,702",80,"449,942,471","1,968,009","1,075,951",0
Need It (feat. YoungBoy Never Broke Again),Need It,Migos,5/22/2020,USUG12000098,"1,569",37.0,"328,017,675",67.0,"160,730,418","74,601,136",83,17,"62,111,222","44,726,778","1,285,243",1
Jealous,Jealous,Eyedress,12/6/2019,GBMYF1900115,"1,615",36.5,"789,418,331",78.0,"100,552,408","1,315,165,820",113,54,"5,315,308","23,644,359","2,230,596",0
UN DIA (ONE DAY) (Feat. Tainy),UN DIA (ONE DAY) (Feat. Tainy),J Balvin,7/24/2020,QZM5U2000001,"1,629",36.3,"828,608,384",64.0,"459,178,965","54,201,520","75,061",2,"54,579,742","618,654","3,931,607",0
Fancy,The New Classic,Iggy Azalea,1/1/2014,GBUM71400597,"1,630",36.3,"724,486,951",61.0,"1,253,153,682","155,148,335","21,741",250,"543,498,775","2,020,118","8,228,542",1
Apocalypse,Apocalypse,Cigarettes After Sex,3/21/2017,USBQU1700034,"1,628",36.3,"1,305,189,811",82.0,"237,610,293","435,331,773","5,105",53,"20,133,868","30,727,101","4,881,850",1
Next Thing You Know,Next Thing You Know,Jordan Davis,8/12/2022,USUM72213874,"1,642",36.1,"233,212,999",71.0,"8,294,089","228,973,807","234,707",332,"128,659,083","1,283,569","608,764",0
Golden,Fine Line,Harry Styles,12/13/2019,USSM11912586,"1,645",36.0,"912,294,568",70.0,"332,759,355","1,255,165,488","225,952",186,"24,011,150","348,587","2,324,716",0
Coal,Coal,Dylan Gossett,7/27/2023,QZNWU2332981,"1,661",35.9,"170,200,281",2.0,"17,596,251","55,041,835","3,374",18,"11,270,619","2,194,550","184,546",0
Moonwalking in Calabasas (feat. Blueface) - Remix,Moonwalking in Calabasas Remix,DDG,8/20/2020,CA5KR2079526,"1,657",35.9,"337,709,342",61.0,"163,572,008","14,079,058","9,995",3,"10,796,822","38,087,760","263,734",1
Deli,Like..? Deluxe (Apple Music Edition),Ice Spice,1/20/2023,USUG12306323,"1,659",35.9,"190,497,384",70.0,"83,093,258","1,315,525,703","19,087","2,669","7,256,474","6,488,250","726,899",1
God's Country,God's Country,Blake Shelton,3/29/2019,USWB11900819,"1,665",35.8,"367,775,924",62.0,"312,724,268","1,035,596,168","145,950",154,"299,540,949","10,943,693","1,661,118",0
Soy Peor,Soy Peor,Bad Bunny,12/8/2016,QZS1Z1649083,"1,672",35.7,"507,652,985",67.0,"1,585,447,114","85,135,882","3,219",23,"98,328,270","24,158,109","1,776,984",1
GREECE (feat. Drake),GREECE (feat. Drake),DJ Khaled,7/16/2020,USSM12004502,"1,676",35.7,"544,564,903",63.0,"96,900,581","482,158,138","5,446",6,"76,789,833","16,724,190","2,427,675",1
Bel Mercy,Bel Mercy,Jengi,12/2/2022,GBAYE2202575,"1,681",35.6,"137,020,536",64.0,"5,945,884","279,149,939","15,563",674,"126,759","5,348,869","2,815,666",0
Dial Drunk,Stick Season (We'll All Be Here Forever),Noah Kahan,6/9/2023,USUM72307683,"1,690",35.5,"157,881,582",67.0,"18,883,499","46,583,057","121,783",14,"9,363,624","2,463,731","228,752",1
Rodeo (Remix),Rodeo (Remix) - Single,Lah Pat,2/24/2023,USAT22301387,"1,695",35.5,"160,163,510",72.0,"104,715,948","32,904,652","31,402",26,"10,266,156","5,540,544","2,351,135",1
I Hope,I Hope,Gabby Barrett,1/25/2019,TCAEB1919657,"1,714",35.3,"399,778,802",66.0,"271,330,319","109,246,978","515,961",174,"310,282,103","6,928,677","4,051,237",0
Bite Me,DARK BLOOD,ENHYPEN,5/22/2023,USA2P2319853,"1,713",35.3,"263,851,286",73.0,"161,653,032","483,823,339","2,228",28,"997,675","1,403,690","434,604",0
Everything I Love,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,USUG12300803,"1,722",35.2,"173,756,454",68.0,"16,950,068","233,214,006","135,232",32,"32,268,708","2,372,605","459,770",0
GOOD LOYAL THOTS,GOOD LOYAL THOTS,Odetari,3/15/2023,QZES92330937,"1,734",35.0,"222,975,417",71.0,"45,543,286","664,995,622",1,20,"1,396,913","321,968","606,670",1
double take,double take,Dhruv,5/24/2019,GBMJG1911043,"1,737",35.0,"826,685,494",76.0,"353,174,602","4,653,743,727","13,341",9,"433,712","10,994,470","1,873,276",0
5 Foot 9,5 Foot 9,Tyler Hubbard,5/20/2022,USUM72206482,"1,742",34.9,"193,680,404",65.0,"893,876","161,738,459","283,251",155,"88,808,802","5,072,427","670,234",0
What My World Spins Around,What My World Spins Around,Jordan Davis,5/27/2022,USUM72208440,"1,769",34.6,"225,128,269",71.0,"6,417,626","33,305,600","309,999",138,"126,764,513","1,153,317","820,952",0
Animals,Full Circle: The Live Anthology,Maroon 5,11/20/2011,USUM71409576,"1,772",34.6,"1,365,755,853",74.0,"1,285,233,400","694,003,171","74,610",98,"542,517,832","11,268,399","8,434,236",0
DNA (Loving You) [feat. Hannah Boleyn],DNA (Loving You) [feat. Hannah Boleyn] - Single,Billy Gillies,7/28/2023,USAT22307379,"1,792",34.4,"71,722,674",68.0,"25,459,927","18,182,823","55,349",94,"7,167","7,973,941","952,963",0
Static,Gemini Rights,Steve Lacy,7/15/2022,USRC12202285,"1,786",34.4,"304,386,086",72.0,"18,632,784","1,303,631,045","2,174",372,"1,716,467","10,581,141","651,001",1
In the End,Hybrid Theory (Bonus Track Version),Linkin Park,10/24/2000,USWB10002407,"1,803",34.3,"2,045,512,421",82.0,"2,375,021,286","729,532,806","186,149",357,"832,288,547","29,420,155","26,145",0
Caramelo,Caramelo,Ozuna,6/11/2020,USXDR2000567,"1,795",34.3,"508,151,972",56.0,"585,332,283","387,733,644","10,140",64,"29,787,813","5,879,892","1,234,460",0
Ho Hey,The Lumineers,The Lumineers,1/1/2012,USDMG1260805,"1,818",34.1,"1,273,869,800",76.0,"370,952,126","172,101,115","242,121",353,"815,332,673","13,370,304","17,971,225",0
Pain,Pain,PinkPantheress,2/5/2021,QZFZ52145391,"1,819",34.1,"595,213,841",77.0,"47,759,635","640,679,729","1,073",145,"2,317,940","20,459,627","719,198",1
Arms Around You (feat. Maluma & Swae Lee),Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,10/25/2018,USWB11802264,"1,815",34.1,"587,673,746",65.0,"490,164,687","15,353,974","30,031",9,"38,836,032","51,950,035","3,904,200",1
Finesse,Finesse,Pheelz,3/3/2022,QZQAY2239272,"1,830",34.0,"162,356,099",62.0,"27,222,424","1,145,039,714","70,941",515,"11,491,383","4,604,430","4,200,295",0
Bad Blood,1989 (Deluxe),Taylor Swift,1/1/2014,USCJY1431369,"1,834",34.0,"602,316,735",67.0,"1,643,019,828","998,836,191","12,331",117,"442,671,630","387,051","3,046,517",0
Man Made A Bar (feat. Eric Church),One Thing At A Time,Morgan Wallen,3/3/2023,USUG12300804,"1,824",34.0,"175,095,439",75.0,"61,848,993","21,618,436","109,675",21,"44,998,795","1,864,234","268,281",0
Timber (feat. Ke$ha),Greatest Hits,Pitbull,1/1/2009,USRC11301695,"1,850",33.8,"1,477,150,302",79.0,"1,751,763,286","1,166,623,514","98,296",348,"56,047,915","45,784,258","13,339,874",0
Whistle,Whistle (feat. Calum Scott),Jax Jones,2/10/2023,GBUM72202305,"1,859",33.7,"150,399,875",68.0,"31,790,864","59,124,615","179,831",93,"1,523,762","1,747,201","1,848,814",0
Before You Leave Me,Before You Leave Me,Alex Warren,2/16/2024,USAT22314248,"1,854",33.7,"99,946,842",78.0,"4,417,747","2,306,041","10,826",58,"2,870,114","1,285,921","310,024",0
ICU,ICU,Coco Jones,10/21/2022,USUM72216687,"1,881",33.5,"52,106,559",61.0,"70,625,059","81,185,287","173,142",104,"52,357,286","4,473,646","1,514,755",0
When It Comes To You,When It Comes To You,Fridayy,7/21/2023,USUM72309787,"1,884",33.4,"36,398,813",62.0,"51,105,810","30,427,598","65,182",77,"37,401,204","3,499,801","1,019,440",0
Light It Up (feat. Nyla & Fuse ODG) [Remix],Peace Is The Mission,Major Lazer,5/29/2015,QMUY41500182,"1,907",33.2,"1,293,191,157",72.0,"606,547,382","19,401,692","54,267",448,"115,098,360","70,181,589","10,975,728",0
Did It Again,Did It Again,Lil Tecca,7/24/2019,USUG11902664,"1,923",33.0,"440,181,206",69.0,"109,575,448","7,112,170",148,67,"22,198,717","78,581,878","391,268",1
Latch,Settle,Disclosure,1/1/2013,GBUM71302810,"1,933",32.9,"1,017,438,306",71.0,"569,083,040","568,058,521","25,714",239,"346,547,845","43,896,113","15,182,802",0
How Do You Sleep?,How Do You Sleep?,Sam Smith,7/19/2019,GBUM71902381,"1,931",32.9,"972,593,978",62.0,"489,662,988","36,540,464","125,065",67,"114,575,260","842,361","5,795,814",0
ceilings,five seconds flat,Lizzy McAlpine,4/8/2022,GBKPL2280163,"1,944",32.8,"540,382,129",76.0,"33,922,247","2,631,370,364","24,819",558,"5,849,073","3,195,140","1,224,138",0
Shut up My Moms Calling,Shut up My Moms Calling - Single,Hotel Ugly,2/10/2020,TCAEQ2083509,"1,983",32.4,"864,865,822",82.0,"119,059,085","1,722,108,635","1,966",593,"1,293,279","5,129,020","1,727,338",0
Hell N Back,Hell N Back (Sped Up),Bakar,8/14/2019,GBARL1900848,"1,975",32.4,"512,194,074",71.0,"31,571,952","1,524,936,587","103,595",183,"7,113,666","10,609,400","2,988,493",1
Stand By Me (feat. Morgan Wallen),Almost Healed,Lil Durk,5/26/2023,USQX92303185,"1,978",32.4,"132,870,060",69.0,"27,715,495","62,570,724","7,685",50,"60,540,256","3,089,208","393,651",1
Shotgun,Staying at Tamara's,George Ezra,3/23/2018,GBARL1701372,"1,980",32.4,"930,662,973",71.0,"473,069,489","114,370,699","141,179",179,"84,992,691","1,225,367","7,331,922",0
Goosebumps,Goosebumps,HVME,6/12/2020,TCAEW2040509,"1,999",32.3,"495,274,429",63.0,"78,671,735","354,473,655","80,857",178,"143,877,755","6,654,386","2,916,022",1
One More Night,Overexposed Track By Track,Maroon 5,1/1/2012,USUM71203514,"1,989",32.3,"885,944,426",73.0,"1,106,757,714","469,737,119","102,020",188,"688,852,104","11,366,528","10,178,659",0
We Can't Stop,NOW: The Hits Of Summer 2014,Miley Cyrus,1/1/2013,USRC11300686,"2,003",32.2,"970,858,824",71.0,"1,310,779,877","343,153,571","18,341",72,"280,783,593","906,974","6,946,040",0
Buy Dirt,Buy Dirt,Jordan Davis,5/21/2021,USUM72104058,"2,007",32.2,"457,254,811",77.0,"26,485,095","280,557,815","207,859",229,"180,003,324","4,893,721","958,724",0
Higher Power,Higher Power,Coldplay,5/7/2021,GBAYE2100379,"2,016",32.1,"349,603,788",63.0,"137,534,459","343,629,235","340,644",85,"9,120,013","116,882","2,591,262",0
The Perfect Girl,The Perfect Girl,Mareux,10/13/2019,QZF8N1986577,"2,018",32.1,"402,007,889",72.0,"275,482,156","2,141,282,045",142,1,"3,790,292","27,342,703","2,706,263",0
I LOVE YOU HOE (w/ 9lives),3x3,Odetari,7/12/2023,QZVFR2301453,"2,028",32.0,"160,320,384",64.0,"27,712,131","2,200,000",4,26,"439,911","6,353,499","394,365",1
Estï¿½ï¿½ Daï,Alma Vacï¿½,Ivan Cornejo,8/20/2021,QZMFV2000188,"2,037",31.9,"263,986,575",67.0,"138,793,735","1,575,405,115",15,2,"16,443,108","22,737,141","1,413,328",0
Take Her Home,Take Her Home - Single,Kenny Chesney,11/10/2023,USWB12306453,"2,048",31.8,"10,292,715",9.0,"2,441,458","725,724","125,960",87,"12,247,793","29,623","139,624",0
Falling,Fine Line,Harry Styles,12/13/2019,USSM11912590,"2,050",31.8,"1,225,776,509",75.0,"308,365,869","188,148,281","32,921",60,"16,990,124",308,"1,958,247",0
Sip (Alcohol),Alcohol - Single,Joeboy,9/24/2021,QZS7J2197906,"2,063",31.8,"115,647,691",58.0,"215,744,090","388,440,929","7,052",225,"10,402,185","6,563,252","4,087,365",0
Get You (feat. Kali Uchis),Get You - Single,Daniel Caesar,10/21/2016,TCACR1690004,"2,056",31.8,"1,024,198,691",76.0,"251,585,070","101,238,385","15,813",138,"113,844,720","58,680,550","4,056,356",0
Body,Body,Loud Luxury,10/27/2017,NLF711710457,"2,059",31.8,"1,187,784,950",74.0,"295,487,246","130,962,355","119,849",410,"94,181,226","19,604,813","9,782,303",0
One Thing At A Time,One Thing At A Time (Sampler),Morgan Wallen,12/2/2022,USUG12209213,"2,057",31.8,"249,576,970",70.0,"39,198,931","37,058,831","101,754",46,"59,261,739","2,193,718","410,037",0
911,911,Sech,2/5/2021,QM9WM2000134,"2,058",31.8,"352,258,962",55.0,"415,445,675","425,874,947","26,965",92,"13,388,831","4,291,370","943,449",1
You Make It Easy,You Make It Easy,Jason Aldean,1/26/2018,QMRSZ1703136,"2,066",31.8,"461,456,306",5.0,"149,557,856","48,036,714","65,951",25,"619,306,368","12,335,891","1,717,815",0
No Type,No Type,Rae Sremmurd,9/16/2014,USUM71413477,"2,072",31.7,"584,277,301",64.0,"902,705,161","510,652,592","18,018",6,"393,317,411","753,607","4,334,574",1
Sand In My Boots,Dangerous: The Double Album,Morgan Wallen,1/8/2021,USUG12004193,"2,078",31.6,"379,462,137",72.0,"144,996,999","137,402,135","192,139",89,"161,701,201","7,058,460","886,799",0
Overseas,Overseas,D-Block Europe,11/18/2021,GB2DY2100828,"2,086",31.6,"216,354,398",64.0,"92,356,896","148,927,892","5,281",10,"38,951","12,328,599","1,065,136",1
Jï¿½ï¿½lale,Jï¿½ï¿½lale,Bb trickz,5/2/2024,ES5022400953,"2,102",31.5,"23,649,304",73.0,"18,261,218","1,395,100",3,85,"15,096","6,827","114,774",0
A Puro Dolor,A Puro Dolor - Single,Gabito Ballesteros,12/2/2023,USA2P2355925,"2,098",31.5,"145,332,157",80.0,"79,026,835","670,588",701,7,"738,838","215,913","233,530",0
All I Want for Christmas Is You,Merry Christmas,Mariah Carey,1/1/1994,USSM19400325,"2,097",31.5,"1,810,649,765",60.0,"824,500,156","15,963,128,797","131,873",139,"304,497,253","1,273,462","6,531,412",0
Wind Up Missin' You,Wind Up Missin' You - Single,Tucker Wetmore,3/29/2024,QM24S2401097,"2,116",31.3,"58,496,778",74.0,"6,718,753","50,112,477","2,759",10,"2,000,917","541,224","233,617",1
You Need To Calm Down,You Need To Calm Down,Taylor Swift,6/14/2019,USUG11901470,"2,113",31.3,"935,098,853",75.0,"437,794,062","255,624,404","70,122",379,"181,933,830","532,187","2,751,022",0
Soweto,Outlaw,Victony,5/6/2022,QZAKB2164097,"2,123",31.2,"133,353,888",69.0,"152,140,804","614,798,320","16,437",17,"3,943,214","2,123,162","3,191,942",1
Poland,Poland - Single,Lil Yachty,10/4/2022,USUG12207318,"2,131",31.2,"142,817,891",58.0,"9,564,773","134,444,259",155,"1,846","2,712,267","18,200,046","194,400",1
REACT,REACT,Switch Disco,1/13/2023,GBARL2202525,"2,138",31.1,"137,897,920",69.0,"61,438,933","33,714,095","122,035",7,"23,180","2,184,490","1,621,052",0
MANIAC,ODDINARY,Stray Kids,3/18/2022,US5TA2200027,"2,163",30.9,"293,724,552",68.0,"343,273,995","866,409,009","2,041",255,"2,234,511","2,091,055","591,662",0
ADIï¿½,LA NENA DE ARGENTINA,Maria Becerra,12/8/2022,USAT22221820,"2,157",30.9,"172,082,938",66.0,"215,719,591","874,751,736","11,867",456,"196,984","67,782","308,507",1
Something About You,Something About You,Eyedress,6/3/2021,GBMYF2000174,"2,162",30.9,"438,511,316",77.0,"27,188,286","434,155,492",422,37,"1,559,941","18,538,652","1,611,142",0
idontwannabeyouanymore,dont smile at me,Billie Eilish,7/21/2017,USUM71707712,"2,166",30.8,"1,091,185,920",72.0,"522,422,864","372,214,292","1,112",22,"83,358,098","37,950,780","2,223,597",0
Call Me Every Day (feat. WizKid),Call Me Every Day (feat. WizKid),Chris Brown,6/17/2022,USRC12201904,"2,174",30.8,"125,056,212",61.0,"123,551,829","58,980,168","80,954",271,"25,014,026","3,759,210","1,524,739",0
World's Smallest Violin,OK ORCHESTRA,AJR,1/1/2021,QMRSZ2003324,"2,165",30.8,"343,227,483",63.0,"239,480,315","6,292,383,402","38,402",554,"8,090,551","4,172,343","2,936,528",1
In Case You Didn't Know,Brett Young EP,Brett Young,1/1/2016,QM3E21606006,"2,198",30.6,"560,774,282",68.0,"861,165,099","216,533,242","80,904",36,"489,345,110","2,365,008","3,920,740",0
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol. 54 - Si",Bizarrap,3/22/2023,UYB282301033,"2,191",30.6,"146,680,564",62.0,"154,916,805","1,816,865","8,273",14,"904,756","590,512","199,628",0
It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),Kygo,2/16/2017,SEBGA1700015,"2,205",30.5,"1,430,439,855",71.0,"308,045,364","81,779,367","91,638",217,"252,544,876","1,855,783","13,603,866",0
I CAN'T STOP ME,Eyes Wide Open,TWICE,10/26/2020,US5TA2000134,"2,200",30.5,"384,886,220",65.0,"681,682,229","666,762,692","2,821",9,"2,318,090","2,087,158","643,653",0
