track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,tiktok_views,airplay_spins,siriusxm_spins,pandora_streams,soundcloud_streams,shazam_counts,explicit_track
PAINTING PICTURES,5LBS OF PRESSURE,Superstar Pride,10/20/2022,QZNMX2257577,777,54.9,"193,109,326",8.0,"64,413,388","1,526,856,459","40,110","2,704","7,692,981","23,495,613","2,304,354",1
THE DINER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401989,790,54.7,"66,101,468",84.0,"4,252,419","11,200,000",195,16,"184,455","685,021","52,008",0
Light Switch,Light Switch (Instrumental),Charlie Puth,1/19/2022,USAT22107359,782,54.7,"593,554,969",67.0,"284,499,511","4,729,678,365","201,936",866,"55,256,200","2,916,780","2,231,820",0
On Me,On Me,Lil Baby,12/4/2020,USUG12004399,788,54.7,"368,017,246",67.0,"227,182,263","198,936,453","178,634",372,"141,610,948","53,891,709","1,728,476",1
Sum 2 Prove,Sum 2 Prove,Lil Baby,1/10/2020,USUG11902886,807,54.0,"444,934,033",66.0,"411,628,542","238,372,502","65,318",37,"124,269,386","68,048,035","1,925,871",1
Good Days,Good Days,SZA,12/25/2020,USRC12004189,806,54.0,"1,105,805,922",77.0,"295,872,840","920,329,965","62,354",266,"71,061,814","8,937,770","2,548,829",1
I Feel It Coming,I Feel It Coming,The Weeknd,11/17/2016,USUG11601012,817,53.6,"1,749,088,490",72.0,"1,489,647,996","36,437","130,551",212,"230,834,970","7,851,939","17,963,628",0
Agua (with J Balvin),"Agua (with J Balvin) [Music From ""Sponge On The Run"" Movie]",Tainy,7/9/2020,USUM72013642,822,53.5,"391,856,304",58.0,"1,040,938,222","1,423,789,944","23,516",309,"9,507,064","510,422","1,570,803",0
TO THE MOON,TO THE MOON,JNR CHOI,11/5/2021,QZNWW2131527,834,53.1,"274,647,899",60.0,"64,640,927","7,062,611,890","161,374","2,397","139,439,113","3,308,660","3,786,029",1
RUBICON,Gï¿½ï¿½N,Peso Pluma,6/22/2023,QM7282306229,844,52.9,"246,224,964",73.0,"147,798,315","278,318,607","1,401",1,"22,544,059","3,883,201","585,523",1
Demons,Continued Silence - EP,Imagine Dragons,1/1/2012,USUM71201071,847,52.8,"2,270,796,677",80.0,"1,738,647,396","296,361,891","144,439",465,"1,087,793,804","26,345,651","18,161,724",0
Spin Bout U,Her Loss,Drake,11/4/2022,USUG12208603,856,52.6,"356,685,934",71.0,"56,086,730","229,937,284",412,93,"48,943,722","13,209,166","1,574,072",1
From The Start,From The Start - Single,Laufey,5/11/2023,QM6N22309399,855,52.6,"368,256,958",73.0,"69,276,606","772,554,264","8,642",319,"855,743","5,861,183","1,011,059",0
Can't Feel My Face,Your Songs 2015,The Weeknd,3/2/2015,USUG11500741,851,52.6,"1,747,534,539",76.0,"1,689,190,795","264,572,676","158,190",474,"552,312,888","4,197,860","14,056,461",0
Sexy And I Know It,Sorry For Party Rocking (Japan Version),LMFAO,1/1/2011,USUM71108090,853,52.6,"436,722,440",62.0,"1,193,724,016","927,660,445","5,186",258,"840,489,680","2,154,867","6,761,782",0
Yeah Glo!,Yeah Glo! (Alternate Versions),GloRilla,2/8/2024,USUM72400409,864,52.2,"89,513,100",75.0,"38,613,955","52,800",20,"1,471","20,163,317","3,187,345","446,156",1
Massive,"Honestly, Nevermind",Drake,6/17/2022,USUG12204890,873,51.7,"253,114,498",65.0,"42,397,563","887,138,394","67,376",768,"15,938,883","4,254,609","2,091,080",0
Adicto (with Anuel AA & Ozuna),Adicto (with Anuel AA & Ozuna),Tainy,8/22/2019,USUM71912751,871,51.7,"711,861,577",69.0,"1,359,220,447","185,706,534","12,356",18,"111,865,989","5,576,102","1,522,049",0
Young Dumb & Broke,The RCA-List (Vol. 5),Khalid,1/1/2017,USRC11700144,881,51.4,"1,527,159,800",76.0,"1,270,330,281","216,666,194","31,081",185,"410,189,803","9,133,063","6,513,209",0
Essence (feat. Tems),Essence (feat. Tems),Wizkid,10/28/2020,USRC12003059,893,51.0,"242,254,880",66.0,"418,190,794","617,402,549","404,288",561,"59,766,393","15,395,153","4,536,227",0
Always Remember Us This Way,A Star Is Born Soundtrack,Lady Gaga,10/5/2018,USUM71813195,901,50.9,"1,269,760,706",76.0,"824,308,720","573,562,180","66,461",4,"322,220,265","612,635","9,755,956",0
Thought You Should Know,Thought You Should Know,Morgan Wallen,5/6/2022,USUG12202977,906,50.7,"340,227,841",73.0,"137,384,524","28,018,314","263,301",32,"215,914,717","4,421,163","857,184",1
CAIRO,CAIRO,KAROL G,11/13/2022,USUM72220925,904,50.7,"443,093,379",72.0,"273,852,759","600,184,949","52,189",125,"24,842,372","1,653,982","1,174,788",1
Out thï¿½ï¿½,Lyfï¿,Yeat,9/9/2022,USUM72217063,907,50.6,"338,097,605",73.0,"54,214,841","117,839,587",63,37,"1,750,477","26,616,347","664,273",1
Se Acabï¿½ï¿½ la Cuaren,Viva el Perreo,Jowell & Randy,8/6/2020,QM6P42086452,915,50.5,"73,468,394",51.0,"73,136,867","2,985,601,079","4,391",73,"12,140,646","1,635,079","1,057,655",1
Look Back At It,Look Back At It,A Boogie Wit da Hoodie,12/7/2018,USAT21812667,912,50.5,"769,061,748",73.0,"233,288,549","250,645,860","91,002",329,"164,836,824","95,216,986","6,255,853",1
Pure Cocaine,Street Gossip,Lil Baby,11/30/2018,USUG11802285,928,50.0,"652,559,944",74.0,"317,320,682","62,837,382",36,1,"133,082,789","97,169,903","1,456,448",1
Pretty Little Poison,Pretty Little Poison - Single,Warren Zeiders,3/17/2023,USWB12300190,932,49.9,"142,512,477",72.0,"56,277,759","109,014,578","202,432",7,"71,730,881","3,516,110","549,127",0
Softly,Making Memories,Karan Aujla,8/18/2023,CAW112300244,941,49.6,"150,073,848",71.0,"232,389,376","169,068,391",455,4,"46,920","2,691,081","270,472",0
Tacones Rojos,Tacones Rojos,Sebastian Yatra,10/22/2021,USUM72119612,940,49.6,"641,756,842",68.0,"558,812,868","855,230,861",438,875,"9,553,399","723,371","2,934,783",0
